Id;Time;Time_year;Species;Gear;Catch;Unit
NJ0221P20;Historical;1991;Mugilidae;Fence;7;number
NJ0221P20;Historical;1991;Scaridae;Fence;6;number
NJ0221P20;Current;2021;Mugilidae;Fence;3;number
NJ0221P20;Current;2021;Scaridae;Fence;4;number
NJ0221P19;Historical;1991;Diodontidae;Spear;6;number
NJ0221P19;Historical;1991;Ray;Spear;6;number
NJ0221P19;Historical;1991;Balistidae;Spear;7;number
NJ0221P19;Historical;1991;Squids;Spear;8;number
NJ0221P19;Historical;1991;Anguilliformes;Spear;6;number
NJ0221P19;Historical;1991;Octopus;Spear;12;number
NJ0221P19;Current;2021;Diodontidae;Spear;4;number
NJ0221P19;Current;2021;Ray;Spear;2;number
NJ0221P19;Current;2021;Balistidae;Spear;3;number
NJ0221P19;Current;2021;Squids;Spear;6;number
NJ0221P19;Current;2021;Anguilliformes;Spear;3;number
NJ0221P19;Current;2021;Octopus;Spear;6;number
NJ0221P18;Historical;1991;Mullidae;Handline;35;number
NJ0221P18;Historical;1991;Lutjanidae;Handline;27;number
NJ0221P18;Historical;1991;Balistidae;Handline;9;number
NJ0221P18;Historical;1991;Scaridae;Handline;32;number
NJ0221P18;Historical;1991;Serranidae;Handline;15;number
NJ0221P18;Historical;1991;Siganus_sutor;Handline;25;number
NJ0221P18;Historical;1991;Lethrinidae;Handline;35;number
NJ0221P18;Current;2021;Mullidae;Handline;15;number
NJ0221P18;Current;2021;Lutjanidae;Handline;12;number
NJ0221P18;Current;2021;Balistidae;Handline;5;number
NJ0221P18;Current;2021;Scaridae;Handline;14;number
NJ0221P18;Current;2021;Serranidae;Handline;5;number
NJ0221P18;Current;2021;Siganus_sutor;Handline;15;number
NJ0221P18;Current;2021;Lethrinidae;Handline;20;number
NJ0221P17;Historical;1971;Serranidae;Trap;30;number
NJ0221P17;Historical;1971;Labridae;Trap;26;number
NJ0221P17;Historical;1971;Scaridae;Trap;46;number
NJ0221P17;Historical;1971;Mullidae;Trap;30;number
NJ0221P17;Historical;1971;Lethrinidae;Trap;35;number
NJ0221P17;Historical;1971;Siganus_sutor;Trap;25;number
NJ0221P17;Current;2021;Serranidae;Trap;12;number
NJ0221P17;Current;2021;Labridae;Trap;12;number
NJ0221P17;Current;2021;Scaridae;Trap;24;number
NJ0221P17;Current;2021;Mullidae;Trap;23;number
NJ0221P17;Current;2021;Lethrinidae;Trap;18;number
NJ0221P17;Current;2021;Siganus_sutor;Trap;16;number
NJ0221P16;Historical;1996;Mullidae;Trap;50;number
NJ0221P16;Historical;1996;Labridae;Trap;30;number
NJ0221P16;Historical;1996;Serranidae;Trap;7;number
NJ0221P16;Historical;1996;Siganus_sutor;Trap;8;number
NJ0221P16;Historical;1996;Mullidae;Trap;10;number
NJ0221P16;Historical;1996;Lethrinus_variegatus;Trap;6;number
NJ0221P16;Historical;1996;Lethrinus_mahsena;Trap;4;number
NJ0221P16;Historical;1996;Lethrinidae;Trap;5;number
NJ0221P16;Historical;1996;Labridae;Trap;8;number
NJ0221P16;Historical;1996;Scaridae;Trap;15;number
NJ0221P16;Current;2021;Mullidae;Trap;26;number
NJ0221P16;Current;2021;Labridae;Trap;13;number
NJ0221P16;Current;2021;Serranidae;Trap;3;number
NJ0221P16;Current;2021;Siganus_sutor;Trap;6;number
NJ0221P16;Current;2021;Mullidae;Trap;6;number
NJ0221P16;Current;2021;Lethrinus_variegatus;Trap;3;number
NJ0221P16;Current;2021;Lethrinus_mahsena;Trap;2;number
NJ0221P16;Current;2021;Lethrinidae;Trap;3;number
NJ0221P16;Current;2021;Labridae;Trap;5;number
NJ0221P16;Current;2021;Scaridae;Trap;8;number
NJ0220M15;Historical;2011;Crabs_Lobsters;FootFisher;15;number
NJ0220M15;Historical;2011;Snails;FootFisher;2;bucket
NJ0220M15;Historical;2011;Bivalves;FootFisher;2;bucket
NJ0220M15;Current;2021;Crabs_Lobsters;FootFisher;10;number
NJ0220M15;Current;2021;Snails;FootFisher;1;bucket
NJ0220M15;Current;2021;Bivalves;FootFisher;1;bucket
NJ0220M14;Historical;2011;Yellowfin_tuna;Floatnet;7;number
NJ0220M14;Historical;2011;Scomberomorus_commerson;Floatnet;10;number
NJ0220M14;Historical;2011;Mullidae;Floatnet;28;number
NJ0220M14;Historical;2011;Istiophoridae;Floatnet;4;number
NJ0220M14;Historical;2011;Scaridae;Floatnet;28;number
NJ0220M14;Historical;2011;Skipjack_tuna;Floatnet;4;number
NJ0220M14;Current;2021;Yellowfin_tuna;Floatnet;5;number
NJ0220M14;Current;2021;Scomberomorus_commerson;Floatnet;8;number
NJ0220M14;Current;2021;Mullidae;Floatnet;22;number
NJ0220M14;Current;2021;Istiophoridae;Floatnet;2;number
NJ0220M14;Current;2021;Scaridae;Floatnet;20;number
NJ0220M14;Current;2021;Skipjack_tuna;Floatnet;2;number
NJ0220M13;Historical;2010;Lethrinus_borbonicus;Trap;18;number
NJ0220M13;Historical;2010;Scarus_ghobban;Trap;15;number
NJ0220M13;Historical;2010;Lethrinus_mahsena;Trap;26;number
NJ0220M13;Historical;2010;Lethrinus_lentjan;Trap;24;number
NJ0220M13;Historical;2010;Mullidae;Trap;30;number
NJ0220M13;Historical;2010;Siganus_sutor;Trap;25;number
NJ0220M13;Current;2021;Lethrinus_borbonicus;Trap;15;number
NJ0220M13;Current;2021;Scarus_ghobban;Trap;20;number
NJ0220M13;Current;2021;Lethrinus_mahsena;Trap;20;number
NJ0220M13;Current;2021;Lethrinus_lentjan;Trap;25;number
NJ0220M13;Current;2021;Mullidae;Trap;25;number
NJ0220M13;Current;2021;Siganus_sutor;Trap;20;number
NJ0220M12;Historical;1991;Siganus_sutor;Trap;17;number
NJ0220M12;Historical;1991;Lethrinus_mahsena;Trap;14;number
NJ0220M12;Historical;1991;Lethrinus_variegatus;Trap;12;number
NJ0220M12;Historical;1991;Lethrinus_harak;Trap;24;number
NJ0220M12;Historical;1991;Lethrinus_borbonicus;Trap;22;number
NJ0220M12;Historical;1991;Mullidae;Trap;27;number
NJ0220M12;Historical;1991;Scaridae;Trap;25;number
NJ0220M12;Current;2021;Siganus_sutor;Trap;15;number
NJ0220M12;Current;2021;Lethrinus_mahsena;Trap;10;number
NJ0220M12;Current;2021;Lethrinus_variegatus;Trap;10;number
NJ0220M12;Current;2021;Lethrinus_harak;Trap;10;number
NJ0220M12;Current;2021;Lethrinus_borbonicus;Trap;20;number
NJ0220M12;Current;2021;Mullidae;Trap;25;number
NJ0220M12;Current;2021;Scaridae;Trap;21;number
NJ0220M11;Historical;2015;Lutjanus_argentimaculatus;Longline;7;number
NJ0220M11;Historical;2015;Lutjanus_sebae;Longline;10;number
NJ0220M11;Historical;2015;Rachycentridae;Longline;12;number
NJ0220M11;Historical;2015;Serranidae;Longline;7;number
NJ0220M11;Historical;2015;Lethrinidae;Longline;6;number
NJ0220M11;Current;2021;Lutjanus_argentimaculatus;Longline;7;number
NJ0220M11;Current;2021;Lutjanus_sebae;Longline;8;number
NJ0220M11;Current;2021;Rachycentridae;Longline;10;number
NJ0220M11;Current;2021;Serranidae;Longline;5;number
NJ0220M11;Current;2021;Lethrinidae;Longline;4;number
NJ0220M11;Current;2021;Carangidae;Longline;14;number
NJ0214C10;Historical;2006;Scaridae;Gillnet;10;number
NJ0214C10;Historical;2006;Mullidae;Gillnet;15;number
NJ0214C10;Historical;2006;Lethrinidae;Gillnet;10;number
NJ0214C10;Historical;2006;Shark;Gillnet;7;number
NJ0214C10;Historical;2006;Istiophoridae;Gillnet;10;number
NJ0214C10;Historical;2006;Kingfish;Gillnet;9;number
NJ0214C10;Historical;2006;Tuna;Gillnet;7;number
NJ0214C10;Historical;2006;Istiophoridae;Gillnet;8;number
NJ0214C10;Current;2021;Scaridae;Gillnet;7;number
NJ0214C10;Current;2021;Mullidae;Gillnet;6;number
NJ0214C10;Current;2021;Lethrinidae;Gillnet;9;number
