Kiswahili;Latin;Family;EwE_group;Food_category;Handline;Net;Spear;Trap;Gillnet;Longline;MigSpear;Miguu;Fence;Floatnet;Total;Group_contribution
Changu gamu;Lethrinus_harak;Lethrinidae;Other_carnivorous_fish;Fish&Invertebrates;494.287648;17549.86243;361.5170974;2612.811717;0;0;289.9139283;0;12.66650795;0;21321.05933;0.169030705
Mkunga;Anguilliformes;Anguiliformes;Other_carnivorous_fish;Fish&Invertebrates;654.1620156;91.22367184;13211.89743;3398.893741;0;0;677.7369973;0;0;0;18033.91386;0.142970625
Mbiu;Rhinobatidae;Rhinobatidae;Other_carnivorous_fish;Fish&Invertebrates;752.7290843;1873.164225;4211.977752;1029.278661;4094.968558;1300.535207;194.8004428;0;42.22169316;0;13499.67562;0.107023748
Changu tuku;Lethrinus_mahsena;Lethrinidae;Other_carnivorous_fish;Fish&Invertebrates;1358.659574;7967.891312;263.1301974;3201.532072;0;0;3.088259418;0;0;0;12794.30141;0.10143163
Chewa kawaida;Serranidae;Serranidae;Other_carnivorous_fish;Fish&Invertebrates;977.2477961;80.46199943;263.2128029;7444.224183;59.14130514;1105.885999;111.7110727;0;0;0;10041.88516;0.079610816
Mkundaji;Mullidae;Mullidae;Other_carnivorous_fish;Fish&Invertebrates;539.9023579;2862.149603;371.1346266;5593.603388;0;387.0455077;276.99029;0;0;0;10030.82577;0.079523139
Changu sororo;Lethrinus_variegatus;Lethrinidae;Other_carnivorous_fish;Fish&Invertebrates;3734.974636;263.3260206;279.5753005;398.0404798;0;375.5371124;0;0;0;0;5051.453549;0.040047295
Kikoa;Plectorhinchus_gibbosus;Haemulidae;Other_carnivorous_fish;Fish&Invertebrates;136.6331718;1078.506542;356.7426708;2039.839932;483.1156941;394.8543827;330.9412316;0;0;0;4820.633626;0.038217384
Pono kasiki;Cheilinus_trilobatus;Labridae;Other_carnivorous_fish;Fish&Invertebrates;322.0664865;1601.978111;395.4807339;1524.923688;0;0;814.9783651;0;0;0;4659.427384;0.03693936
Cheche;Cheilio inermis;Labridae;Other_carnivorous_fish;Fish&Invertebrates;3015.275933;20.49114241;214.0132981;301.7036595;0;0;0;0;0;8.932721219;3560.416754;0.028226541
Chaa;Gerres_spp.;Gerreidae;Other_carnivorous_fish;Fish&Invertebrates;1002.020538;1967.638121;31.45412583;278.3939884;0;150.2148449;0;0;0;0;3429.721618;0.027190406
Changu kawaida;Lethrinus_nebulosus;Lethrinidae;Other_carnivorous_fish;Fish&Invertebrates;268.8249909;576.5314423;126.9217964;1385.264627;0;60.80649095;0;0;0;0;2418.349347;0.019172373
Ngogo;Plotosus_lineatus;Plotosidae;Other_carnivorous_fish;Fish&Invertebrates;0;0;1743.164797;279.497178;0;0;26.59851061;0;0;0;2049.260486;0.016246282
Nungu;Diodontidae;Diodontidae;Other_carnivorous_fish;Fish&Invertebrates;49.01850132;64.62533752;1170.768258;512.0893961;0;0;196.7995879;0;0;0;1993.301081;0.015802643
Changu njanzi;Lethrinus_rubrioperculatus;Lethrinidae;Other_carnivorous_fish;Fish&Invertebrates;1718.813876;62.22577117;71.13499403;52.88917615;0;0;5.349306492;0;0;0;1910.413124;0.015145518
Biliwili;Platycephalidae;Platycephalidae;Other_carnivorous_fish;Fish&Invertebrates;51.21516626;24.2865886;1347.301333;219.608963;0;0;230.8499565;0;0;0;1873.262007;0.014850988
Cha ndasa;Lutjanus_argentimaculatus;Lutjanidae;Other_carnivorous_fish;Crustaceans;83.3831683;326.5567699;18.45870494;1200.092691;0;91.20973645;0;0;33.42550709;0;1753.126578;0.013898569
