Id;Time;Time_year;Gear_used;Numbers_fishing_trip_year;Unit_fishing_trip;Duration_fishing_trip;Unit_fishing_duration;Catch;Unit
OH0213U1;Current;2021;Spear;300;days;8;hours;25;number
OH0213U1;Historical;1971;Spear;300;days;8;hours;40;number
OH0213U2;Current;2021;Handline;144;days;6;hours;20;number
OH0213U2;Historical;2001;Handline;155;days;6;hours;210;number
OH0213U3;Current;2021;Floatnet;240;days;7;hours;360;number
OH0213U3;Historical;1971;Floatnet;240;days;5;hours;900;number
OH0213U4;Current;2021;Spear;348;days;7;hours;150;number
OH0213U4;Historical;2004;Spear;348;days;7;hours;150;number
OH0213U5;Current;2021;Spear;320;days;5;hours;8;number
OH0213U5;Historical;1976;Spear;320;days;5;hours;40;number
OH0214C6;Current;2021;Dragnet;312;days;3;hours;1000;number
OH0214C6;Historical;2014;Dragnet;312;days;3;hours;1400;number
OH0214C7;Current;2021;Longline;320;days;5;hours;150;number
OH0214C7;Historical;2001;Longline;320;days;1.5;hours;200;number
OH0214C8;Current;2021;Dragnet;325;days;5;hours;150;number
OH0214C8;Historical;2000;Dragnet;325;days;5;hours;400;number
OH0214C9;Current;2021;Trap;320;days;4;hours;100;number
OH0214C9;Historical;1995;Trap;320;days;4;hours;150;number
OH0214C10;Current;2021;Handline;350;days;6;hours;20;number
OH0214C10;Historical;2014;Handline;350;days;6;hours;20;number
OH0220M11;Current;2021;Handline;300;days;4;hours;100;number
OH0220M11;Historical;2011;Handline;300;days;4;hours;150;number
OH0220M12;Current;2021;Trap;300;days;3;hours;160;number
OH0220M12;Historical;1991;Trap;300;days;5;hours;700;number
OH0220M13;Current;2021;Trap;350;days;4;hours;300;number
OH0220M13;Historical;2011;Trap;350;days;4;hours;400;number
OH0220M14;Current;2021;Handline;340;days;6;hours;300;number
OH0220M14;Historical;2001;Handline;340;days;6;hours;500;number
OH0220M15;Current;2021;Spear;340;days;4;hours;20;number
OH0220M15;Historical;1991;Spear;340;days;4;hours;35;number
OH0221P16;Current;2021;Spear;300;days;5;hours;6;number
OH0221P16;Historical;1976;Spear;300;days;5;hours;50;number
OH0221P17;Current;2021;Dragnet;300;days;7;hours;132;number
OH0221P17;Historical;1993;Dragnet;300;days;7;hours;300;number
OH0221P18;Current;2021;Dragnet;330;days;3;hours;700;number
OH0221P18;Historical;2005;Dragnet;330;days;3;hours;800;number
OH0221P19;Current;2021;Handline;340;days;4;hours;200;number
OH0221P19;Historical;1971;Handline;340;days;4;hours;300;number
OH0221P20;Current;2021;Trap;340;days;4;hours;50;number
OH0221P20;Historical;1984;Trap;340;days;4;hours;300;number
NS0213U1;Current;2021;Gillnet;360;days;7.5;hours;2;number
NS0213U1;Historical;2014;Gillnet;360;days;7.5;hours;4;number
NS0213U2;Current;2021;Dragnet;240;days;8;hours;7;rope
NS0213U2;Historical;1970;Dragnet;240;days;9;hours;30;rope
NS0213U3;Current;2021;Handline;240;days;4.5;hours;2.5;rope
NS0213U3;Historical;2006;Handline;240;days;5.5;hours;18;rope
NS0213U4;Current;2021;Handline;168;days;5;hours;5;kg
NS0213U4;Historical;2015;Handline;168;days;5;hours;12;kg
NS0213U5;Current;2021;Handline;300;days;7;hours;3;rope
NS0213U5;Historical;2015;Handline;300;days;7;hours;4;rope
NS0214C6;Current;2021;Gillnet;168;days;7;hours;6;number
NS0214C6;Historical;2011;Gillnet;168;days;7;hours;7;number
NS0214C7;Current;2021;Spear;120;days;5;hours;28;rope
NS0214C7;Historical;2011;Spear;120;days;5;hours;34;rope
NS0214C8;Current;2021;NA;NA;days;NA;hours;2;rope
NS0214C8;Historical;2017;NA;NA;days;NA;hours;NA;NA
NS0214C9;Current;2021;Dragnet;360;days;4;hours;34;rope
NS0214C9;Historical;2001;Dragnet;360;days;4;hours;60;rope
NS0214C10;Current;2021;Spear;NA;days;NA;hours;55;number
NS0214C10;Historical;2018;NA;NA;days;NA;hours;NA;NA
NS0220M11;Current;2021;Spear;336;days;6;hours;100;number
NS0220M11;Historical;2009;Spear;336;days;6;hours;250;number
NS0220M12;Current;2021;Handline;120;days;4;hours;1;rope
NS0220M12;Historical;1996;Handline;168;days;4;hours;2;rope
NS0220M13;Current;2021;Gillnet/Trap;360;days;12;hours;90;number
NS0220M13;Historical;2011;Gillnet/Trap;360;days;12;hours;100;number
NS0220M14;Current;2021;Trap;348;days;5;hours;200;number
NS0220M14;Historical;2001;Trap;348;days;5;hours;320;number
NS0220M15;Current;2021;Trap;360;days;6;hours;60;number
NS0220M15;Historical;2001;Trap;360;days;6;hours;60-780;number
NS0221P16;Current;2021;Spear;348;days;3;hours;3;rope
NS0221P16;Historical;1991;Handline;348;days;3;hours;8;rope
NS0221P17;Current;2021;Handline;240;days;5;hours;30;rope
NS0221P17;Historical;1972;Handline;240;days;5;hours;6;rope
NS0221P18;Current;2021;Handline/Longline;348;days;4.5;hours;25;rope
NS0221P18;Historical;1991;Handline/Longline;348;days;4.5;hours;7;number
NS0221P19;Current;2021;Handline/Trap;180;days;6;hours;80;number
NS0221P19;Historical;1991;Handline/Trap;180;days;6;hours;3;number
NS0221P20;Current;2021;Handline;240;days;5;hours;3;rope
NS0221P20;Historical;1971;Handline;300;days;6;hours;10;rope
HK0213U1;Current;2021;Longline;240;days;5;hours;6;number
HK0213U1;Historical;1996;Longline;276;days;5;hours;15;number
HK0213U2;Current;2021;Handline;288;days;4;hours;16;kg
HK0213U2;Historical;2001;Handline;312;days;4;hours;25;kg
HK0213U3;Current;2021;Gillnet/Handline;70;days;4;hours;24;kg
HK0213U3;Historical;1986;Gillnet/Handline;86;days;4;hours;35;kg
HK0213U4;Current;2021;Gillnet;312;days;24;hours;3.5;number
HK0213U4;Historical;2004;Gillnet;345;days;24;hours;7;number
HK0213U5;Current;2021;Spear;170;days;5;hours;12;kg
HK0213U5;Historical;2010;Spear;200;days;5;hours;19;kg
HK0214C6;Current;2021;Spear;212;days;4;hours;11;kg
HK0214C6;Historical;2010;Spear;252;days;4;hours;20;kg
HK0214C7;Current;2021;Handline/Trap;192;days;4;hours;12;kg
HK0214C7;Historical;2006;Handline/Trap;264;days;4;hours;25;kg
HK0214C8;Current;2021;Trap/Dragnet;224;days;4.50;hours;22;number
HK0214C8;Historical;1991;Trap/Dragnet;300;days;4.50;hours;31;number
HK0214C9;Current;2021;Gillnet;264;days;4;hours;22;kg
HK0214C9;Historical;2006;Gillnet;300;days;4;hours;30;kg
HK0214C10;Current;2021;Trap;252;days;24;hours;7;kg
HK0214C10;Historical;1998;Trap;276;days;24;hours;13;kg
HK0220M11;Current;2021;Floatnet/Handline;196;days;10;hours;23;kg
HK0220M11;Historical;2001;Floatnet/Handline;240;days;10;hours;39;kg
HK0220M12;Current;2021;Gillnet/Trap;228;days;4;hours;25;kg
HK0220M12;Historical;2006;Gillnet/Trap;276;days;4;hours;35;kg
HK0220M13;Current;2021;Gillnet/Handline;216;days;4;hours;25;kg
HK0220M13;Historical;2006;Gillnet/Handline;252;days;4;hours;40;kg
HK0220M14;Current;2021;Dragnet;216;days;4;hours;17;kg
HK0220M14;Historical;2006;Dragnet;240;days;4;hours;34;kg
HK0220M15;Current;2021;Trap;264;days;24;hours;45;kg
HK0220M15;Historical;1981;Trap;300;days;24;hours;67;kg
HK0221P16;Current;2021;Trap;256;days;24;hours;26;kg
HK0221P16;Historical;1991;Trap;300;days;24;hours;49;kg
HK0221P17;Current;2021;Trap;228;days;24;hours;18;number
HK0221P17;Historical;1981;Trap;300;days;24;hours;32;number
HK0221P18;Current;2021;Handline;228;days;4.5;hours;20;number
HK0221P18;Historical;1986;Handline;300;days;4.5;hours;31;number
HK0221P19;Current;2021;Handline;228;days;4;hours;19;number
HK0221P19;Historical;1991;Handline;288;days;4;hours;34;number
HK0221P20;Current;2021;Spear;228;days;4.5;hours;17;number
HK0221P20;Historical;1996;Spear;276;days;4.5;hours;31;number
NJ0213U1;Current;2021;Spear;300;days;8;hours;8;kg
NJ0213U1;Historical;2009;Spear;300;days;8;hours;13;kg
NJ0213U2;Current;2021;Trap;300;days;6;hours;50;number
NJ0213U2;Historical;1961;Trap;300;days;6;hours;150;number
NJ0213U3;Current;2021;Handline;300;days;6;hours;2;rope
NJ0213U3;Historical;2006;Handline;300;days;6;hours;4;rope
NJ0213U4;Current;2021;FootFisher;300;days;4;hours;1;bucket
NJ0213U4;Historical;2011;FootFisher;300;days;4;hours;2.5;bucket
NJ0213U5;Current;2021;Spear;300;days;5;hours;8;kg
NJ0213U5;Historical;1986;Spear;300;days;5;hours;13;kg
NJ0214C6;Current;2021;FootFisher;300;days;5;hours;3;bucket
NJ0214C6;Historical;2006;FootFisher;300;days;5;hours;5;bucket
NJ0214C7;Current;2021;FootFisher;300;days;7;hours;2;bucket
NJ0214C7;Historical;2016;FootFisher;300;days;7;hours;5;bucket
NJ0214C8;Current;2021;Spear;300;days;6;hours;30;number
NJ0214C8;Historical;2006;Spear;300;days;6;hours;35;number
NJ0214C9;Current;2021;Longline;300;days;4;hours;30;number
NJ0214C9;Historical;2001;Longline;300;days;4;hours;40;number
NJ0214C10;Current;2021;Gillnet;300;days;5;hours;2;kg
NJ0214C10;Historical;2006;Gillnet;300;days;5;hours;4;kg
NJ0220M11;Current;2021;Longline;300;days;4;hours;5;rope
NJ0220M11;Historical;2015;Longline;300;days;4;hours;10;rope
NJ0220M12;Current;2021;M;300;days;3;hours;45;kg
NJ0220M12;Historical;1991;M;300;days;3;hours;60;kg
NJ0220M13;Current;2021;Trap;300;days;5;hours;100;number
NJ0220M13;Historical;2010;Trap;300;days;5;hours;500;number
NJ0220M14;Current;2021;Floatnet;300;days;6;hours;200;number
NJ0220M14;Historical;2011;Floatnet;300;days;6;hours;300;number
NJ0220M15;Current;2021;FootFisher;300;days;4;hours;2;bucket
NJ0220M15;Historical;2011;FootFisher;300;days;4;hours;6;bucket
NJ0221P16;Current;2021;Trap;300;days;3;hours;6;number
NJ0221P16;Historical;1996;Trap;300;days;3;hours;50;number
NJ0221P17;Current;2021;Trap;300;days;5;hours;6;number
NJ0221P17;Historical;1971;Trap;300;days;5;hours;45;number
NJ0221P18;Current;2021;Handline;300;days;3;hours;2;rope
NJ0221P18;Historical;1991;Handline;300;days;3;hours;4;rope
NJ0221P19;Current;2021;Spear;300;days;7;hours;6;number
NJ0221P19;Historical;1991;Spear;300;days;7;hours;15;number
NJ0221P20;Current;2021;Fence;300;days;3;hours;4;rope
NJ0221P20;Historical;1991;Fence;300;days;3;hours;7;rope
